city,housenumber,postcode,street,amenity,speciality,name,opening_hours,website,id,longitude,latitude,country,suburb,wheelchair,description,email,toilets_wheelchair,wheelchair_description
Berlin,122,12621,Münsterberger Weg,doctors,ophthalmology,Augenarzt Dr. med. Bashar Moustafa,"Mo 08:00-14:00; Tu 08:00-14:00; We 13:00-18:00; Th 08:00-12:00,13:00-17:00; Fr 08:00-12:00",https://augenarztberlin.info/,266680057,13.5985472,52.5070039,,,,,,,
Berlin,5B,13353,Willdenowstraße,doctors,general,Dr. Katja Meißner,"Mo,Th 09:00-12:00,16:00-18:00; We,Fr 09:00-12:00; Tu 09:00-14:00",http://www.arztpraxis-meissner.de/,268915280,13.3626634,52.5430244,DE,Wedding,yes,,,,
Berlin,22A,13593,Obstallee,doctors,general;gynaecology;paediatrics;internal;psychiatry;neurology;oncology;obstetrics,Medizinisches Versorgungszentrum Heerstraße Nord,,,362631112,13.1663149,52.5221737,,,yes,Praxisgemeinschaft,,,
Berlin,12a,12621,Karlstraße,doctors,,,"Mo 08:15-13:00,15:00-18:00;Tu 08:15-14:00;We 08:15-13:00;Th 08:15-12:00,14:00-16:00; Fr 08:15-12:00; Sa,Su,PH off",https://www.drhenriettefriedrich.de,407094165,13.5900589,52.5062647,DE,Kaulsdorf,limited,,info@drhenriettefriedrich.de,,
Berlin,,12683,Minsker Straße,doctors,,Polimedica,,,409925339,13.5575525,52.5050079,,Biesdorf,yes,,,,
Berlin,51,12305,Bahnhofstraße,doctors,general;internal,Agnes Kranz,"Mo,We,Th 14:00-19:00; Tu,Fr 09:00-13:00",,420517141,13.4036823,52.3864845,DE,,no,,,no,
Berlin,13A,12307,Briesingstraße,doctors,general,Arztpraxis Mehdi Zadeh,"We 08:30-11:30 ""nur telefonisch""; Mo,Th 08:00-12:00,15:30-18:00; Tu,Fr 08:00-12:00; PH off",http://www.arztpraxis-mehdi-zadeh.de/,420517414,13.3994422,52.3854787,DE,Lichtenrade,no,,,,
Berlin,2,14129,Altvaterstraße,doctors,paediatrics,Kinderarztpraxis am Schlachtensee,"Mo 08:30-12:00,15:00-18:00; Tu 08:30-12:00,14:00-18:00; We-Th 08:30-12:00,15:00-18:00; Fr 08:30-12:00",https://www.kinderaerztin-neuendank.de,443669345,13.2142934,52.4391996,DE,Schlachtensee,,,,,
Berlin,25,12526,Grottewitzstraße,doctors,general,Praxis Dipl.-Med. Thomas Domnik,"Mo 08:00-11:00,16:00-18:00; Tu 08:00-11:00,16:00-18:00; Th 08:00-11:00,16:00-18:00; Fr 08:00-11:00,16:00-18:00",,497180977,13.5685776,52.4050209,DE,Bohnsdorf,no,,,,
Berlin,10a,12526,Krumme Straße,doctors,internal,Dr. med. Stefan Donat,,,497183294,13.5726254,52.4001047,DE,Bohnsdorf,yes,,,,
Berlin,215,12055,Karl-Marx-Straße,doctors,general,Dr. Darian Dalmis,"Mo,Tu,Th 09:00-13:00,15:00-18:00; We,Fr 09:00-13:00; Sa 10:00-11:00",,506410619,13.4417252,52.4706145,DE,Neukölln,limited,,,,
Berlin,12,13507,Berliner Straße,doctors,orthodontics;plastic_surgery;dental_oral_maxillo_facial_surgery,Dr. med. Leia Anvari,,https://www.dr-anvari.de,525495501,13.2853339,52.587514,,,yes,,,,
Berlin,24,13347,Neue Hochstraße,doctors,general,Dr. med. Klaus Dierlich,"Mo-Tu,Th 10:00-12:00,15:00-18:00; We off; Fr 10:00-12:00",,531228825,13.376141,52.5426523,DE,Gesundbrunnen,no,,,,
Berlin,28,13347,Schönwalder Straße,doctors,paediatrics,Kinderpraxis Denise Bosch Rosa,"Mo-We,Fr 08:30-12:00, Mo,Tu 14:00-17:00, Th 13:00-17:00,08:30-11:30",,567148666,13.3741752,52.542169,DE,Gesundbrunnen,no,,,,
Berlin,23,10249,Straßmannstraße,doctors,general,Dr. med. Birgit Klee,"Mo,We 09:00-14:00; Tu,Th 14:00-16:00; Fr 09:00-12:00",https://www.arztpraxis-klee.de,567546837,13.4509141,52.5226306,,,no,,,,
Berlin,15,10249,Ebelingstraße,doctors,orthopaedics,Dr. med. Ayhan Dogan,"Mo 08:00-12:30,13:30-16:30; Tu 08:00-12:30,13:30-16:30; We 08:00-12:30; Th 12:00-15:30,16:00-19:00; Fr 08:00-12:30",,567546841,13.4507961,52.5237491,,,limited,,,,
Berlin,,13347,Ravenéstraße,doctors,urology,Dr. med Baris Sahin,"Mo,Tu,Fr 08:00-13:00, Tu 14:00-17:00, Th 13:00-17:00,08:00-12:00",,575192282,13.3700829,52.5429908,,Gesundbrunnen,yes,,,,
Berlin,43-45,12277,Marienfelder Allee,doctors,internal,Kathrin Repp,"Mo,Th 07:00-13:00; Tu 08:00-12:00,15:00-19:00; We 07:00-11:00; Fr 07:00-12:00",https://www.repp-hausarzt.de/,582854283,13.3704503,52.4217236,,,,,,,
Berlin,5,10435,Arkonaplatz,doctors,general;haematology;oncology;internal,Gemeinschaftspraxis Arkonaplatz,Mo-Fr 08:00-12:00,http://www.gemeinschaftspraxis-arkonaplatz.de,610474614,13.4013397,52.5375235,DE,Mitte,yes,,,,
Berlin,52,10367,Möllendorffstraße,doctors,radiology,Radiologisches Zentrum,Mo-Th 08:00-18:00; Fr 08:00-13:00,https://rzm.berlin/praxis,612811382,13.4800899,52.5248933,DE,Fennpfuhl,yes,,,,
