name,street,housenumber,city,postcode,speciality,opening_hours,website,id,longitude,latitude,wheelchair,description,email,toilets_wheelchair,wheelchair_description,district_id,neighborhood_id,amenity
A-Arbeitsmedizin,Schwartzkopffstraße,15,Berlin,10115,occupational,,https://a-arbeitsmedizin.de/,7823742547,13.3799485,52.5349997,,,info@a-arbeitsmedizin.de,,,11001001,101,practice
A. Dorosti Nadali,Dunckerstraße,17,Berlin,10437,general,"Mo,Tu,Th 08:00-18:00; We 08:00-13:00",https://www.praxis-nadali.de/,11108705050,13.4218526,52.5434336,,,,,,11003003,301,practice
AID Friedrichshain,Frankfurter Allee,100,Berlin,,,Mo-Fr 09:00-13:00; Sa 10:00-12:00; PH off,https://drogennotdienst.de/angebote/substitution-psychosoziale-betreuung/aid-friedrichshain/,4513645689,13.4729599,52.5136926,yes,Substitution und Psychosoziale Betreuung (PSB),friedrichshain@notdienstberlin.de,,,11002002,201,practice
AL Urologie am Rüdesheimer Platz,Homburger Straße,16,Berlin,14197,urology,"Mo 09:00-13:00,15:00-19:00; Tu 09:00-13:00; We 09:00-13:00; Th 15:00-19:00; Fr 09:00-13:00",https://www.al-urologie.de/,7844240263,13.314986,52.4743656,,,,,,11004004,402,practice
ARZ,Albert-Einstein-Straße,4,Berlin,12489,,Mo-Fr 07:30-22:00; Sa 09:00-17:00,,1930491527,13.5366657,52.4313863,yes,,,,,11009009,907,practice
Abdulrahman Seiffedin,Residenzstraße,28,Berlin,,general,"Mo,We-Fr 09:00-14:00; Tu 12:00-17:00",,12201871546,13.3614749,52.5686214,,,,,,11012012,1201,practice
Agnes Kranz,Bahnhofstraße,51,Berlin,12305,general;internal,"Mo,We,Th 14:00-19:00; Tu,Fr 09:00-13:00",,420517141,13.4036823,52.3864845,no,,,no,,11007007,706,practice
Alexa Mittenzweig / Dr. med. Suresh Naidu,John-Schehr-Straße,23,Berlin,10407,general,,https://hausarzt-prenzlauerberg.de/,7095890402,13.437174,52.5365685,,,,,,11003003,301,group_practice
Algemeinmedizin und Sportarztpraxis,Mandelstraße,2,Berlin,10409,general;sports_physician,"Mo,Th 09:00-12:00; Mo 16:00-18:00; Tu 12:00-17:00; We,Fr 08:00-11:00",https://www.dr-katrin-geissler.de,1143805317,13.4410872,52.545499,limited,,,,,11003003,301,practice
Allgemeinarzt Tanja Kosi,Residenzstraße,33,Berlin,13409,general,Mo-Fr 08:00-18:00; Sa 10:00-12:00,,2953783035,13.3621398,52.5673426,limited,,,,,11012012,1201,practice
Allgemeinmedizin,Hauptstraße,13,Berlin,,general,"Mo 09:00-11:00,14:00-17:00; Tu 09:00-13:00; We 08:00-13:00; Th 12:00-17:00; Fr 08:00-12:00",https://allgemeinmedizin-pankow.de/,7746191690,13.3670807,52.5855737,no,,,,,11003003,313,practice
Allgemeinmedizin,Warener Straße,1,Berlin,12683,general,Mo 7:30-13:00; Tu 13:00-19:00;We 6:30-12:00; Th 11:00-19:00,,11177334845,13.5645202,52.5190956,yes,,,,,11010010,1002,practice
