addr:city,addr:housenumber,addr:postcode,addr:street,amenity,healthcare,healthcare:speciality,name,opening_hours,operator,website,osm_id,osm_type,longitude,latitude,addr:country,addr:suburb,check_date:opening_hours,contact:phone,contact:website,level,wheelchair,description,short_name,email,fax,health_facility:type,health_specialty:family_medicine,health_specialty:internal_medicine,medical_system:western,phone,toilets:wheelchair,check_date,contact:email,contact:fax,opening_hours:url,image,outdoor_seating,dispensing,office,comment,wheelchair:description,health_specialty:obstetrics,health_specialty:reproductive_medicine,source,healthcare:alternative,operator:type,internet_access,toilets,not:brand:wikidata,health_specialty:ophthalmology,min_age,operator:start_date,health_specialty:gynaecology,emergency,health_specialty:orthopaedics,opening_hours:signed,name:en,health_specialty:dermatology,health_specialty:surgery,alt_name,note,health_specialty:venereology,addr:housename,description:de,health_specialty:paediatrics,home_visit,fixme,addr:inclusion,blind:description:de,deaf:description:de,health_specialty:psychosomatic_medicine,health_specialty:psychotherapy,health_specialty:traditional_chinese_medicine,addr:place,payment:cash,payment:credit_cards,payment:debit_cards,contact:facebook,name:ru,opening_hours:reception,opening_hours:dr_weinhold,operator:wikidata,health_specialty:emergency_medicine,health_specialty:sports_medicine,payment:mastercard,payment:visa,layer,opening_hours:note,note:de,phone_1,health_specialty:diagnostic_radiology,health_specialty:dentistry,health_specialty:maxillofacial_surgery,access,name:de,contact:mobile,doctor,instagram,opening_hours:note:de,health_specialty:allergology,health_specialty:pulmonology,disease:hiv,disease:stds,start_date,blind:description,operator:wikipedia,health_specialty:gastroenterology,internet_access:fee,internet_access:ssid,addr:floor,elevator,language:en,language:es,language:fr,language:tr,wheelchair:description:de,air_conditioning,health_service:prevention,health_service:test,lgbtq:trans,health_specialty:cardiology,healthcare:speciality:de,health_specialty:paediatric_gastroenterology,beauty,opening_hours:covid19,name:ja,branch,name:signed,old_name,mobile,payment:american_express,payment:coins,payment:maestro,payment:notes,payment:telephone_cards,capacity,day_surgery,health_specialty:pain_medicine,health_specialty:andrology,health_specialty:urology,health_specialty:optometry,opening_hours:office,survey:date,counselling_type:nutrition,health_service:counselling,health_specialty:acupuncture,health_specialty:homoeopathy,health_specialty:mind_body_intervention,health_specialty:naturopathy,health_specialty:osteopathy,health_specialty:phythotherapy,insurance:health,health_specialty:adult_psychiatry,health_specialty:neurology,reservation,noname,payment:privat,contact:instagram,health_specialty:neonatology,health_specialty:ear_nose_throat,social_facility:for,wheelchair:description:en,url,language:de,language:ku,language:ru,language:ar,language:th,fixme:type,description:en,health_service:examination,smoking,building,building:levels,neighborhood,roof:shape,height,roof:levels,roof:colour,social_facility,wikidata,wikimedia_commons,deaf:description,official_name,brand,brand:wikidata,wikipedia,roof:height,heritage,heritage:operator,lda:criteria,ref:lda,heritage:website,building:colour,ele,health_specialty:anesthesiology,health_specialty:hand_surgery,health_specialty:trauma_surgery,not:operator:wikidata,work_accident,building:material,type,building:parts,contact:city,contact:country,contact:housenumber,contact:postcode,contact:street,contact:suburb
Berlin,122,12621,Münsterberger Weg,doctors,doctor,ophthalmology,Augenarzt Dr. med. Bashar Moustafa,"Mo 08:00-14:00; Tu 08:00-14:00; We 13:00-18:00; Th 08:00-12:00,13:00-17:00; Fr 08:00-12:00",Bashar Moustafa,https://augenarztberlin.info/,266680057,node,13.5985472,52.5070039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,5B,13353,Willdenowstraße,doctors,doctor,general,Dr. Katja Meißner,"Mo,Th 09:00-12:00,16:00-18:00; We,Fr 09:00-12:00; Tu 09:00-14:00",,,268915280,node,13.3626634,52.5430244,DE,Wedding,2025-08-01,+49 30 4657700,http://www.arztpraxis-meissner.de/,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,22A,13593,Obstallee,doctors,centre,general;gynaecology;paediatrics;internal;psychiatry;neurology;oncology;obstetrics,Medizinisches Versorgungszentrum Heerstraße Nord,,,,362631112,node,13.1663149,52.5221737,,,,,,,yes,Praxisgemeinschaft,MVZ Heerstraße Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,12a,12621,Karlstraße,doctors,doctor,,,"Mo 08:15-13:00,15:00-18:00;Tu 08:15-14:00;We 08:15-13:00;Th 08:15-12:00,14:00-16:00; Fr 08:15-12:00; Sa,Su,PH off",,https://www.drhenriettefriedrich.de,407094165,node,13.5900589,52.5062647,DE,Kaulsdorf,,,,,limited,,,info@drhenriettefriedrich.de,+49 30 56597765,office,main,main,yes,+49 30 5668244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,doctors,doctor,,Polimedica,,,,409925339,node,13.5575525,52.5050079,,,,,,,yes,,,,,health_centre,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,51,12305,Bahnhofstraße,doctors,doctor,general;internal,Agnes Kranz,"Mo,We,Th 14:00-19:00; Tu,Fr 09:00-13:00",,,420517141,node,13.4036823,52.3864845,DE,,,,,,no,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,13A,12307,Briesingstraße,doctors,doctor,general,Arztpraxis Mehdi Zadeh,"We 08:30-11:30 ""nur telefonisch""; Mo,Th 08:00-12:00,15:30-18:00; Tu,Fr 08:00-12:00; PH off",,,420517414,node,13.3994422,52.3854787,DE,Lichtenrade,,+49 30 744 50 50,http://www.arztpraxis-mehdi-zadeh.de/,0,no,,,,,,,,,,,2025-01-25,info@arztpraxis-zadeh.de,+49 30 744 39 70,http://www.arztpraxis-mehdi-zadeh.de/sprechstunden.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,2,14129,Altvaterstraße,doctors,doctor,paediatrics,Kinderarztpraxis am Schlachtensee,"Mo 08:30-12:00,15:00-18:00; Tu 08:30-12:00,14:00-18:00; We-Th 08:30-12:00,15:00-18:00; Fr 08:30-12:00",Dr. med. Andrea Neuendank;PD Dr. Birgit Uhlenberg,https://www.kinderaerztin-neuendank.de,443669345,node,13.2142934,52.4391996,DE,Schlachtensee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,25,12526,Grottewitzstraße,doctors,doctor,general,Praxis Dipl.-Med. Thomas Domnik,"Mo 08:00-11:00,16:00-18:00; Tu 08:00-11:00,16:00-18:00; Th 08:00-11:00,16:00-18:00; Fr 08:00-11:00,16:00-18:00",,,497180977,node,13.5685776,52.4050209,DE,Bohnsdorf,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,10a,12526,Krumme Straße,doctors,doctor,internal,Dr. med. Stefan Donat,,,,497183294,node,13.5726254,52.4001047,DE,Bohnsdorf,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
