id,club_name,phone,website,wheelchair,email,toilets_wheelchair,wheelchair_description,city,house_num,postcode,street,suburb,opening_hours,live_music,longitude,latitude
way/23278633,Roadrunners Rock & Motor Club,+49 30 78082991,http://www.roadrunners-paradise.de,limited,,,,Berlin,,10117,Unter den Linden,Mitte,,,13.3951309,52.5173885
way/24248500,Werk9,+49 30 20165823,https://www.werk9.de/,limited,info@werk9.de,yes,"Haben für den Eingang eine Rampe, die muss bei Bedarf hingelegt werden. Eine behindertengerechte Toilette ist vorhanden.",Berlin,,10117,Unter den Linden,Mitte,,,13.3951309,52.5173885
way/24283864,Pride Warehouse,,,limited,,,,Berlin,26,10247,Colbestraße,Friedrichshain,,,13.4632854,52.5123097
way/36908987,Gretchen,+49 30 25922702,https://www.gretchen-club.de/,yes,gretchen@gretchen-club.de,,,Berlin,19-21,10963,Obentrautstraße,,"""Je nach Veranstaltung""",,13.3879213,52.4955636
way/41474936,Duncker,+49 30 4459509,https://www.dunckerclub.de/,yes,,no,,Berlin,64,10439,Dunckerstraße,Prenzlauer Berg,Mo 22:00-04:00; Fr-Sa 22:00-05:00; Su 12:00-19:00,,13.4227755,52.5468944
way/42163697,yaam,+49 176 10051189,https://www.yaam.de/,limited,,,,Berlin,3,10243,An der Schillingbrücke,Friedrichshain,Mo-Su 11:00-24:00,,13.4307181,52.5091664
way/45001954,Lokschuppen,,https://www.lokschuppen-berlin.com/,limited,contact@lokschuppen-berlin.com,,,,99,10245,Revaler Straße,,,,13.4527414,52.5072971
way/45001955,Astra Kulturhaus,+49 30 20056767,https://www.astra-berlin.de/,yes,,yes,Tribüne rollstuhlgerecht bei Konzerten,Berlin,99,10245,Revaler Straße,Friedrichshain,"""irregular events""",yes,13.4527414,52.5072971
way/72984386,Golden Gate,,https://www.goldengate-berlin.de/,limited,,no,,Berlin,,10117,Unter den Linden,Mitte,,,13.3951309,52.5173885
way/108243893,OC23,+49 30 92092120,https://kinderring-berlin.de/oc23/,,,,,Berlin,23,13086,Langhansstraße,Weißensee,Mo-Th 13:00-20:00; Su 12:00-18:00,,13.4450329,52.5506857
way/118327391,MS Hoppetosse,,,no,,,,Berlin,,10117,Unter den Linden,Mitte,,,13.3951309,52.5173885
way/119172796,Panke,,https://www.pankeculture.com/,,,no,,Berlin,23,13347,Gerichtstraße,Gesundbrunnen,,,13.3742384,52.5449968
way/123019464,Badehaus,+49 30 25933042,http://www.badehaus-berlin.com/,limited,,yes,enge Toilette,Berlin,99,10245,Revaler Straße,Friedrichshain,,,13.4527414,52.5072971
way/123750257,Prägewerk,,,,,,,Berlin,,10117,Unter den Linden,Mitte,,,13.3951309,52.5173885
way/136852555,LARK,,https://larkberlin.com/,yes,club@larkberlin.com,no,,Berlin,15—18,10179,Holzmarktstraße,Mitte,,,13.4227766,52.5130237
way/136852556,Hangar 49,,https://hangar49.de/,yes,,,,Berlin,49,10179,Wassertorstraße,Mitte,,,13.4113486,52.4991391
way/148829988,Sisyphos,,http://www.sisyphos-berlin.net,yes,,yes,,Berlin,15,10317,Hauptstraße,Rummelsburg,"Mar-Dec: Sa,Su,PH 00:00-24:00",,13.4918987,52.4933258
way/167777311,"Jugendschiff ""ReMiLi""",,https://remili.de/,no,,,,Berlin,,10117,Unter den Linden,Mitte,Mo-Fr 14:00-20:00,,13.3951309,52.5173885
way/172900722,Fiese Remise,,,,,,,Berlin,,10117,Unter den Linden,Mitte,,,13.3951309,52.5173885
way/277805717,Festsaal Kreuzberg,+49 30 403655630,https://www.festsaal-kreuzberg.de/,yes,,,"Durchs Tor kann man ebenerdig, kein Rolli-WC",Berlin,2,12435,Am Flutgraben,,,,13.4515556,52.4968232
way/286165789,Berghain Kantine,,https://www.berghain.berlin/de/program/kantine-am-berghain/,limited,support@berghain.de,,,Berlin,,10243,Am Wriezener Bahnhof,Friedrichshain,,,13.4407738,52.5114484
way/291111616,ÆDEN,,http://aedenberlin.com,no,,,,,3,10997,Schleusenufer,,Tu 22:00-08:00; Th 22:00-08:00; Fr 22:00-10:00; Sa 18:00-10:00,,13.45011,52.4975973
way/293386107,Kater Blau,+49 30 47361686,http://www.katerblau.de,yes,,yes,,Berlin,25,10243,Holzmarktstraße,Friedrichshain,,,13.4253649,52.5119029
way/342600129,Maaya,+49 30 297766770,https://maaya.de/,,,,,Berlin,99,10245,Revaler Straße,Friedrichshain,"Tu-Th,Su 12:00-22:00; Fr,Sa 12:00-23:00; ",,13.4527414,52.5072971
way/355476495,OXI Garten,,https://oxi-garten.de/,limited,,,,Berlin,1-4,10365,Wiesenweg,Lichtenberg,,,13.4749435,52.5076121
way/379305718,Metropol,+49 30 403678560,https://metropol-berlin.de,yes,info@metropol-berlin.de,yes,,Berlin,5,10777,Nollendorfplatz,,"""zu Veranstaltungen""",,13.3527048,52.4989399
way/684464913,Cassiopeia,,https://cassiopeia-berlin.de/,limited,,yes,,Berlin,99,10245,Revaler Straße,Friedrichshain,,yes,13.4527414,52.5072971
way/1081145396,Abstrakt,+49 30 65832595,,yes,,yes,,Berlin,121,10407,Storkower Straße,Prenzlauer Berg,,,13.4523763,52.5351911
node/259845846,Junction-Bar,+49306946602,https://www.junction-bar.de/,no,,,,Berlin,18,10961,Gneisenaustraße,Kreuzberg,,,13.3931533,52.4913696
node/262818281,ASeven Club,,https://www.aseven.de,limited,,,,Berlin,7,10178,Alexanderstraße,,"Fr 23:30-06:00, Sa 19:00-06:00",,13.4164254,52.5232268
node/339749949,Matrix,+49 30 29369990,https://www.matrix-berlin.de/,limited,,no,,Berlin,18,10245,Warschauer Platz,Friedrichshain,Mo-Su 22:00-07:00,,13.4490212,52.5046782
node/360111407,Lido,+49 30 69566840,https://www.lido-berlin.de/,yes,,yes,"Stufe am Haupteingang, Rampe vorhanden. Für das rolligerechte WC bitte vor Ort nach dem Schlüssel fragen.",Berlin,7,10997,Cuvrystraße,Kreuzberg,,yes,13.4450748,52.4992172
node/373095675,Humboldthain Club,,https://www.humboldthain.com/,no,,,,Berlin,46,13357,Hochstraße,,"Tu 18:00-04:00, Th 19:00-04:00, Sa-Su 23:00-09:00",,13.3787124,52.5441625
node/383210462,Narva Lounge,,,yes,,,,Berlin,,10245,Warschauer Platz,Friedrichshain,,,13.4489112,52.5045582
node/410135945,Wild at Heart,,http://wildatheartberlin.de,no,,,,Berlin,,10999,Wiener Straße,Kreuzberg,"""When they host a concert, doors opens at 20h. Otherwise they are closed""",,13.4310967,52.4974686
node/429735547,Clärchens Ballhaus,+49 30 2829295,https://www.claerchensball.haus/,no,info@claerchensball.haus,no,,Berlin,24,10117,Auguststraße,Mitte,Tu-Fr 17:00-23:00; Sa-Su 14:00-23:00,,13.39691,52.5264743
node/461623768,Sun Chiller Lounge,,,limited,,,,Berlin,,10243,Weidenweg,Friedrichshain,"We-Sa 16:00-24:00+, Su 14:00-24:00+; PH 14:00-24:00+",,13.441495,52.5179462
node/475153994,Postbahnhof,+49 152 5374 4760,https://postbahnhof.com/,yes,,,,Berlin,8,10243,Straße der Pariser Kommune,Friedrichshain,,,13.4363946,52.5086309
node/485354535,Glashaus,,,,,,,Berlin,,12435,Eichenstraße,Alt-Treptow,,,13.4530728,52.4973833
node/485640732,Zur Wilden Renate,+49 30 25041426,https://www.renate.cc,no,,,,Berlin,70,10245,Alt-Stralau,Friedrichshain,,,13.4653065,52.4973901
node/492849637,RAW 99,,http://www.raw-tempel.de/,limited,,,,Berlin,99,10245,Revaler Straße,Friedrichshain,,,13.454537,52.5076615
node/621429565,Berndhain,,,,,,,Berlin,32,10245,Simon-Dach-Straße,Friedrichshain,,,13.4560428,52.5091003
node/652884290,Calabash,+49 30 83030144,,,,,,Berlin,21,10119,Veteranenstraße,Mitte,,,13.4007592,52.5336193
node/667842214,Sage,,https://www.sage-club.de/,yes,,yes,,Berlin,76,10179,Köpenicker Straße,Mitte,,,13.4169088,52.5110197
node/670069373,NBI Club,+49 179 4261189,http://www.neueberlinerinitiative.de,no,,,,Berlin,5,10119,Zionskirchstraße,Mitte,Mo-Su 20:00+,,13.401179,52.53567
node/729294555,Kit Kat Club,+49 30 7871896,http://www.kitkatclub.org,limited,,yes,,Berlin,76,10179,Köpenicker Straße,Mitte,,yes,13.4169157,52.5112074
node/736787851,1820,+493081453960,https://www.belushis.com/bars/berlin,no,,,,Berlin,41,10178,Rosa-Luxemburg-Straße,Mitte,Mo-Su 19:00-00:00,,13.4107036,52.526786
node/739305494,Insomnia,+49 30 51654143,https://www.insomnia-berlin.de/,,dominique@insomnia-berlin.de,,,Berlin,17,12099,Alt-Tempelhof,Tempelhof,"Tu 19:00-02:00, We 20:00-02:00, Th 14:00-24:00; Fr-Sa 22:00+, Su 19:00-02:00",,13.3860876,52.4655581
node/821646254,Abgedreht Klub,,,,,,,Berlin,,10243,Karl-Marx-Allee,Friedrichshain,,,13.452579,52.5156316
node/898983650,K133 Night Lounge,,http://night-lounge.net/,no,,,,Berlin,133/134,10711,Kurfürstendamm,Halensee,,,13.2932442,52.4972653
node/910429971,Ballhaus Berlin,+49 30 2827575,https://www.ballhaus-berlin.de/,yes,info@ballhaus-berlin.de,,,Berlin,102,10115,Chausseestraße,Mitte,"Mo-Sa 15:00-04:00, Su 15:00-01:00",,13.380294,52.5320796
node/918183904,Club R8,+49 30 544 69663,http://www.clubr8.com/,limited,,,,Berlin,8,10117,Rosmarinstraße,Mitte,,,13.3899473,52.5161783
node/959344243,SchwuZ,+49 30 5770 227-0,http://www.schwuz.de,yes,,yes,,Berlin,26,12053,Rollbergstraße,Neukölln,,,13.4337837,52.4794629
node/959625062,Havanna,+49 30 78899655,https://www.havanna-berlin.de/,yes,,,,Berlin,30,10827,Hauptstraße,,We 20:00+; Fr-Sa 22:00+,,13.3534485,52.4852704
node/975700421,Huxleys Neue Welt,+49 30 78099810,https://huxleysneuewelt.com/,yes,,yes,,Berlin,107-113,10967,Hasenheide,Neukölln,"""Je nach Veranstaltung""",,13.4217418,52.4864896
node/979969868,Ritter Butzke,,https://club.ritterbutzke.com,yes,,yes,"WC war gerade kaputt, ansonsten im EG alles ok erreichbar",Berlin,26,10969,Ritterstraße,Kreuzberg,"""siehe Website""",,13.4081361,52.5030121
node/988192687,Silverwings,,https://silverwings.de/,no,,,Befindet sich im 1. Stock. Achtung: Ignoriert das Nichtraucherschutzgesetz.,Berlin,,12101,Columbiadamm,Tempelhof,,,13.390553,52.4835867
node/1144034120,AM to PM,+49 30 24085301,https://am-to-pm.metro.bar/,no,Cloudamtopm@gmail.com,no,,Berlin,2,10178,Am Zwirngraben,Mitte,zurzeit geschlossen,,13.4034635,52.5229379
node/1145853246,Hafenbar,+49302828593,https://www.hafenbar-berlin.de/,no,,,,Berlin,11,10178,Karl-Liebknecht-Straße,Mitte,Fr-Sa 21:00-05:00,,13.4075481,52.5217615
