id,club_name,phone,website,wheelchair,email,toilets_wheelchair,wheelchair_description,city,house_num,postcode,street,opening_hours,live_music,longitude,latitude,district_id,neighborhood_id
way/23278633,Roadrunners Rock & Motor Club,+49 30 78082991,http://www.roadrunners-paradise.de,limited,,,,Berlin,,10117,Unter den Linden,,,13.3951309,52.5173885,11001001,101
way/24248500,Werk9,+49 30 20165823,https://www.werk9.de/,limited,info@werk9.de,yes,"Haben für den Eingang eine Rampe, die muss bei Bedarf hingelegt werden. Eine behindertengerechte Toilette ist vorhanden.",Berlin,,10117,Unter den Linden,,,13.3951309,52.5173885,11001001,101
way/24283864,Pride Warehouse,,,limited,,,,Berlin,26,10247,Colbestraße,,,13.4632854,52.5123097,11002002,201
way/36908987,Gretchen,+49 30 25922702,https://www.gretchen-club.de/,yes,gretchen@gretchen-club.de,,,Berlin,19-21,10963,Obentrautstraße,"""Je nach Veranstaltung""",,13.3879213,52.4955636,11002002,202
way/41474936,Duncker,+49 30 4459509,https://www.dunckerclub.de/,yes,,no,,Berlin,64,10439,Dunckerstraße,Mo 22:00-04:00; Fr-Sa 22:00-05:00; Su 12:00-19:00,,13.4227755,52.5468944,11003003,301
way/42163697,yaam,+49 176 10051189,https://www.yaam.de/,limited,,,,Berlin,3,10243,An der Schillingbrücke,Mo-Su 11:00-24:00,,13.4307181,52.5091664,11002002,201
way/45001954,Lokschuppen,,https://www.lokschuppen-berlin.com/,limited,contact@lokschuppen-berlin.com,,,Berlin,99,10245,Revaler Straße,,,13.4527414,52.5072971,11002002,201
way/45001955,Astra Kulturhaus,+49 30 20056767,https://www.astra-berlin.de/,yes,,yes,Tribüne rollstuhlgerecht bei Konzerten,Berlin,99,10245,Revaler Straße,"""irregular events""",yes,13.4527414,52.5072971,11002002,201
way/72984386,Golden Gate,,https://www.goldengate-berlin.de/,limited,,no,,Berlin,,10117,Unter den Linden,,,13.3951309,52.5173885,11001001,101
way/108243893,OC23,+49 30 92092120,https://kinderring-berlin.de/oc23/,,,,,Berlin,23,13086,Langhansstraße,Mo-Th 13:00-20:00; Su 12:00-18:00,,13.4450329,52.5506857,11003003,302
way/118327391,MS Hoppetosse,,,no,,,,Berlin,,10117,Unter den Linden,,,13.3951309,52.5173885,11001001,101
way/119172796,Panke,,https://www.pankeculture.com/,,,no,,Berlin,23,13347,Gerichtstraße,,,13.3742384,52.5449968,11001001,106
way/123019464,Badehaus,+49 30 25933042,http://www.badehaus-berlin.com/,limited,,yes,enge Toilette,Berlin,99,10245,Revaler Straße,,,13.4527414,52.5072971,11002002,201
way/123750257,Prägewerk,,,,,,,Berlin,,10117,Unter den Linden,,,13.3951309,52.5173885,11001001,101
way/136852555,LARK,,https://larkberlin.com/,yes,club@larkberlin.com,no,,Berlin,15—18,10179,Holzmarktstraße,,,13.4227766,52.5130237,11001001,101
way/136852556,Hangar 49,,https://hangar49.de/,yes,,,,Berlin,49,10179,Wassertorstraße,,,13.4113486,52.4991391,11002002,202
way/148829988,Sisyphos,,http://www.sisyphos-berlin.net,yes,,yes,,Berlin,15,10317,Hauptstraße,"Mar-Dec: Sa,Su,PH 00:00-24:00",,13.4918987,52.4933258,11011011,1112
way/167777311,"Jugendschiff ""ReMiLi""",,https://remili.de/,no,,,,Berlin,,10117,Unter den Linden,Mo-Fr 14:00-20:00,,13.3951309,52.5173885,11001001,101
way/172900722,Fiese Remise,,,,,,,Berlin,,10117,Unter den Linden,,,13.3951309,52.5173885,11001001,101
way/277805717,Festsaal Kreuzberg,+49 30 403655630,https://www.festsaal-kreuzberg.de/,yes,,,"Durchs Tor kann man ebenerdig, kein Rolli-WC",Berlin,2,12435,Am Flutgraben,,,13.4515556,52.4968232,11009009,901
way/286165789,Berghain Kantine,,https://www.berghain.berlin/de/program/kantine-am-berghain/,limited,support@berghain.de,,,Berlin,,10243,Am Wriezener Bahnhof,,,13.4407738,52.5114484,11002002,201
way/291111616,ÆDEN,,http://aedenberlin.com,no,,,,Berlin,3,10997,Schleusenufer,Tu 22:00-08:00; Th 22:00-08:00; Fr 22:00-10:00; Sa 18:00-10:00,,13.45011,52.4975973,11002002,202
way/293386107,Kater Blau,+49 30 47361686,http://www.katerblau.de,yes,,yes,,Berlin,25,10243,Holzmarktstraße,,,13.4253649,52.5119029,11002002,201
way/342600129,Maaya,+49 30 297766770,https://maaya.de/,,,,,Berlin,99,10245,Revaler Straße,"Tu-Th,Su 12:00-22:00; Fr,Sa 12:00-23:00; ",,13.4527414,52.5072971,11002002,201
way/355476495,OXI Garten,,https://oxi-garten.de/,limited,,,,Berlin,1-4,10365,Wiesenweg,,,13.4749435,52.5076121,11011011,1103
way/379305718,Metropol,+49 30 403678560,https://metropol-berlin.de,yes,info@metropol-berlin.de,yes,,Berlin,5,10777,Nollendorfplatz,"""zu Veranstaltungen""",,13.3527048,52.4989399,11007007,701
way/684464913,Cassiopeia,,https://cassiopeia-berlin.de/,limited,,yes,,Berlin,99,10245,Revaler Straße,,yes,13.4527414,52.5072971,11002002,201
way/1081145396,Abstrakt,+49 30 65832595,,yes,,yes,,Berlin,121,10407,Storkower Straße,,,13.4523763,52.5351911,11003003,301
node/259845846,Junction-Bar,+49306946602,https://www.junction-bar.de/,no,,,,Berlin,18,10961,Gneisenaustraße,,,13.3931533,52.4913696,11002002,202
node/262818281,ASeven Club,,https://www.aseven.de,limited,,,,Berlin,7,10178,Alexanderstraße,"Fr 23:30-06:00, Sa 19:00-06:00",,13.4164254,52.5232268,11001001,101
node/339749949,Matrix,+49 30 29369990,https://www.matrix-berlin.de/,limited,,no,,Berlin,18,10245,Warschauer Platz,Mo-Su 22:00-07:00,,13.4490212,52.5046782,11002002,201
node/360111407,Lido,+49 30 69566840,https://www.lido-berlin.de/,yes,,yes,"Stufe am Haupteingang, Rampe vorhanden. Für das rolligerechte WC bitte vor Ort nach dem Schlüssel fragen.",Berlin,7,10997,Cuvrystraße,,yes,13.4450748,52.4992172,11002002,202
node/373095675,Humboldthain Club,,https://www.humboldthain.com/,no,,,,Berlin,46,13357,Hochstraße,"Tu 18:00-04:00, Th 19:00-04:00, Sa-Su 23:00-09:00",,13.3787124,52.5441625,11001001,106
node/383210462,Narva Lounge,,,yes,,,,Berlin,,10245,Warschauer Platz,,,13.4489112,52.5045582,11002002,201
node/410135945,Wild at Heart,,http://wildatheartberlin.de,no,,,,Berlin,,10999,Wiener Straße,"""When they host a concert, doors opens at 20h. Otherwise they are closed""",,13.4310967,52.4974686,11002002,202
node/429735547,Clärchens Ballhaus,+49 30 2829295,https://www.claerchensball.haus/,no,info@claerchensball.haus,no,,Berlin,24,10117,Auguststraße,Tu-Fr 17:00-23:00; Sa-Su 14:00-23:00,,13.39691,52.5264743,11001001,101
