@id,amenity,building,name,phone,website,wheelchair,building:levels,email,opening_hours:signed,roof:shape,smoking,toilets:wheelchair,wheelchair:description,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,contact:facebook,contact:instagram,contact:phone,contact:twitter,contact:website,opening_hours,roof:colour,roof:levels,alt_name,building:colour,building:material,check_date,check_date:opening_hours,image,start_date,year_of_construction,contact:mobile,operator,previously,contact:email,contact:fax,drink:club-mate,leisure,live_music,operator:type,owner,wikidata,wikimedia_commons,layer,source,seamark:hulk:category,seamark:type,addr:housename,addr:place,building:part,contact:ra,culture,name:etymology:wikidata,name:etymology:wikipedia,open_air,wikipedia,addr:floor,bar,level,payment:cash,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:visa,ref:vatin,toilets,nohousenumber,club,brewery,official_name,source_ref:url,old_contact:facebook,old_contact:ra,old_name:2015--2024-01-22,old_operator,old_wikidata,wifi,longitude,latitude,check_date:smoking,old_name,check_date:currency:XBT,currency:XBT,loc_name,name:en,opening_hours:description,outdoor_seating,payment:lightning,payment:lightning_contactless,payment:onchain,note,kinky,access,entrance,brothel:swingerclub,description,fax,min_age,mobile,facebook,instagram,lgbtq,short_name,internet_access,url,music_genre,name:ja,payment:free,cruising,lgbtq:cruising,lgbtq:men,opening_hours:office,unused:amenity,contact:whatsapp,alt_name_1,mapillary,air_conditioning,contact:qype,contact:yelp,identity,provides,fixme,name:es,delivery,takeaway,payment:cards,karaoke,disused:amenity,disused:name,charge:conditional,fee,nudism
way/23278633,nightclub,yes,Roadrunners Rock & Motor Club,+49 30 78082991,http://www.roadrunners-paradise.de,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/24248500,nightclub,residential,Werk9,+49 30 20165823,https://www.werk9.de/,limited,1,info@werk9.de,no,flat,no,yes,"Haben für den Eingang eine Rampe, die muss bei Bedarf hingelegt werden. Eine behindertengerechte Toilette ist vorhanden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/24283864,nightclub,commercial,Pride Warehouse,,,limited,1,,,,,,,Berlin,DE,26,10247,Colbestraße,Friedrichshain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/36908987,nightclub,industrial,Gretchen,,,yes,1,gretchen@gretchen-club.de,,gabled,isolated,,,Berlin,DE,19-21,10963,Obentrautstraße,,https://www.facebook.com/gretchen.club/,https://www.instagram.com/clubgretchen/,+49 30 25922702,https://twitter.com/clubGRETCHEN/,https://www.gretchen-club.de/,"""Je nach Veranstaltung""",#74817e,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/41474936,nightclub,school,Duncker,,,yes,1,,no,hipped,,no,,Berlin,DE,64,10439,Dunckerstraße,Prenzlauer Berg,https://www.facebook.com/dunckerclub,https://www.instagram.com/dunckerclub/,+49 30 4459509,,https://www.dunckerclub.de/,Mo 22:00-04:00; Fr-Sa 22:00-05:00; Su 12:00-19:00,#3b3d46,1,Dunckerclub,#b47876,brick,2025-01-26,2025-01-26,https://www.dunckerclub.de/bilder/duncker_aussen.jpg,1989,1913..1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/42163697,nightclub,yes,yaam,,,limited,,,,,,,,Berlin,DE,3,10243,An der Schillingbrücke,Friedrichshain,https://www.facebook.com/YAAM.Berlin,https://www.instagram.com/yaam_berlin/,,,https://www.yaam.de/,Mo-Su 11:00-24:00,,,,,,,,,,,+49 176 10051189,KULT. Verein für Jugendkultur e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/45001954,nightclub,commercial,Lokschuppen,,https://www.lokschuppen-berlin.com/,limited,1,contact@lokschuppen-berlin.com,,,yes,,,,,99,10245,Revaler Straße,,,lokschuppenberlin,,,,,,,,,,,,,,,,,Suicide Circus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/45001955,nightclub,commercial,Astra Kulturhaus,,,yes,1,,,,isolated,yes,Tribüne rollstuhlgerecht bei Konzerten,Berlin,DE,99,10245,Revaler Straße,Friedrichshain,http://www.facebook.com/astraberlin,astraberlin,+49 30 20056767,,https://www.astra-berlin.de/,"""irregular events""",,,,,,,,,,,,Kreuzberg Musik Produktion GmbH,,info@astra-berlin.de,+49 30 69566842,yes,music_venue,yes,business,Kreuzberg Musik Produktion GmbH,Q105762275,Category:Astra Kulturhaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/72984386,nightclub,viaduct,Golden Gate,,https://www.goldengate-berlin.de/,limited,,,no,flat,yes,no,,,,,,,,,,,,,,#414141,,,,,,2025-10-08,,,,,,,,,,,,,,Q21036515,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/108243893,nightclub,commercial,OC23,+49 30 92092120,https://kinderring-berlin.de/oc23/,,,,,,,,,Berlin,DE,23,13086,Langhansstraße,Weißensee,,,,,,Mo-Th 13:00-20:00; Su 12:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,Geoportal Berlin / Hauskoordinaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/118327391,nightclub,boat,MS Hoppetosse,,,no,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,casino_boat,hulk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/119172796,nightclub,,Panke,,https://www.pankeculture.com/,,,,,,,no,,Berlin,DE,23,13347,Gerichtstraße,Gesundbrunnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/123019464,nightclub,yes,Badehaus,,,limited,,,,,,yes,enge Toilette,Berlin,DE,99,10245,Revaler Straße,Friedrichshain,https://www.facebook.com/Badehaus.Berlin,https://www.instagram.com/badehaus_berlin/,+49 30 25933042,,http://www.badehaus-berlin.com/,,,,,,,,,,,,,Badehaus Musik GmbH,,info@badehaus-berlin.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/123750257,nightclub,residential,Prägewerk,,,,3,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/136852555,nightclub,,LARK,,https://larkberlin.com/,yes,1,club@larkberlin.com,,,,no,,Berlin,DE,15—18,10179,Holzmarktstraße,Mitte,lark.berlin,lark.berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Bogen 47,Stadtbahnbogen,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/136852556,nightclub,,Hangar 49,,https://hangar49.de/,yes,1,,,,,,,Berlin,DE,49,10179,,Mitte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Bogen 49,Stadtbahnbogen,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/148829988,nightclub,,Sisyphos,,,yes,,,,,yes,yes,,Berlin,DE,15,10317,Hauptstraße,Rummelsburg,https://www.facebook.com/sisyface,https://www.instagram.com/sisyphosberlin,,,http://www.sisyphos-berlin.net,"Mar-Dec: Sa,Su,PH 00:00-24:00",,,,,,,,,2009,,,Sisyphos Event GmbH,,,,,,,,,Q21036516,,,,,,,,,https://ra.co/clubs/17118,open_air,Q102561,de:Sisyphos,yes,de:Sisyphos (Berlin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/167777311,nightclub,yes,"Jugendschiff ""ReMiLi""",,https://remili.de/,no,,,,,,,,,,,,,,,,,,,Mo-Fr 14:00-20:00,,,,,,,,,,,,,,,,,cultural_institution,,,,Q112861701,"Category:Remili (ship, 1906)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/172900722,nightclub,yes,Fiese Remise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
