zip_code,city,street,house_no,location_type,location_name,id,closure_periods,opening_hours,latitude,longitude
10178,Berlin,Spandauer Str.,2,RETAIL_OUTLET,City Shop,4340626,[],Mo: 08:00-18:00; Tu: 08:00-18:00; We: 08:00-18:00; Th: 08:00-18:00; Fr: 08:00-18:00; Sa: 08:00-16:00,52.5211445,13.4037667
10178,Berlin,Rathausstr.,5,POSTBANK_FINANCE_CENTER,Postbank Filiale,6730,"[{'type': 'closure', 'fromDate': '2025-10-29T00:00:00+0100', 'toDate': None}]",Mo: 09:30-18:30; Tu: 09:30-18:30; We: 09:30-18:30; Th: 09:30-18:30; Fr: 09:30-18:30; Sa: 09:00-14:00,52.5197371,13.4115168
10178,Berlin,Karl-Liebknecht-Str.,13,RETAIL_OUTLET,Lotto Post Tabak,4307374,[],Mo: 08:00-19:00; Tu: 08:00-19:00; We: 08:00-19:00; Th: 08:00-19:00; Fr: 08:00-19:00; Sa: 08:00-19:00,52.5223268,13.4080741
10179,Berlin,Grunerstr.,20,RETAIL_OUTLET,"GECO im ALEXA, Untergeschoss/Baseme",4125530,[],Mo: 09:00-19:45; Tu: 09:00-19:45; We: 09:00-19:45; Th: 09:00-19:45; Fr: 09:00-19:45; Sa: 09:00-19:45,52.5187644,13.4163841
10179,Berlin,Brückenstr.,1a,RETAIL_OUTLET,Lotto-Post-Schreibwaren,4326999,[],Mo: 09:00-19:00; Tu: 09:00-19:00; We: 09:00-19:00; Th: 09:00-19:00; Fr: 09:00-19:00; Sa: 09:00-15:00,52.5115047,13.4169142
10117,Berlin,Behrenstr.,29,RETAIL_OUTLET,Lotto Post Zeitschriften,4329065,[],Mo: 07:00-22:00; Tu: 07:00-22:00; We: 07:00-22:00; Th: 07:00-22:00; Fr: 07:00-22:00; Sa: 08:00-20:00; Su: 09:00-21:00,52.5155824,13.3902965
10119,Berlin,Torstr.,98,RETAIL_OUTLET,Postshop Torstraße,4312916,[],Mo: 09:00-18:30; Tu: 09:00-18:30; We: 09:00-18:30; Th: 09:00-18:30; Fr: 09:00-18:30; Sa: 10:00-15:00,52.5294491,13.4043244
10969,Berlin,Markgrafenstr.,19a,RETAIL_OUTLET,Lotto-Toto-Post,4335469,[],Mo: 09:00-18:00; Tu: 09:00-18:00; We: 09:00-18:00; Th: 09:00-18:00; Fr: 09:00-18:00; Sa: 09:00-13:00,52.5073043,13.3945643
10117,Berlin,Friedrichstr.,133,RETAIL_OUTLET,City-Shop am Friedrichstadtpalast,4341744,[],Mo: 08:00-19:00; Tu: 08:00-19:00; We: 08:00-19:00; Th: 08:00-19:00; Fr: 08:00-19:00; Sa: 08:00-16:00,52.5235573,13.3874275
10179,Berlin,Heinrich-Heine-Platz,9,RETAIL_OUTLET,Tabac-Center,4139026,[],Mo: 07:00-19:00; Tu: 07:00-19:00; We: 07:00-19:00; Th: 07:00-19:00; Fr: 07:00-19:00; Sa: 07:00-17:00,52.506585,13.4158765
10249,Berlin,Mollstr.,19,RETAIL_OUTLET,Post Lotto Schreibwaren,4327580,[],Mo: 08:00-18:00; Tu: 08:00-18:00; We: 08:00-18:00; Th: 08:00-18:00; Fr: 08:00-18:00; Sa: 08:00-13:00,52.5234703,13.4261535
10119,Berlin,Fehrbelliner Str.,83,RETAIL_OUTLET,etwas Spätkauf,4335800,[],Mo: 09:00-22:30; Tu: 09:00-22:30; We: 09:00-22:30; Th: 09:00-22:30; Fr: 09:00-22:30; Sa: 10:00-22:30,52.5322896,13.4057837
10969,Berlin,Oranienstr.,55,RETAIL_OUTLET,Kiezkauf,4329456,[],Mo: 07:00-20:00; Tu: 07:00-20:00; We: 07:00-20:00; Th: 07:00-20:00; Fr: 07:00-20:00; Sa: 07:00-20:00,52.5034209,13.4119274
10115,Berlin,Novalisstr.,13,RETAIL_OUTLET,Lottoladen Bieselt,4116178,[],Mo: 08:00-19:00; Tu: 08:00-19:00; We: 08:00-19:00; Th: 08:00-19:00; Fr: 08:00-19:00; Sa: 08:30-12:30,52.5284359,13.3885248
10407,Berlin,Am Friedrichshain,35,RETAIL_OUTLET,Melis Coffee 2,4088342,[],Mo: 08:00-22:00; Tu: 08:00-22:00; We: 08:00-22:00; Th: 08:00-22:00; Fr: 08:00-22:00; Sa: 08:00-22:00,52.5282837,13.4247892
10117,Berlin,Reinhardtstr.,46,RETAIL_OUTLET,LTP,4337728,[],Mo: 09:00-19:00; Tu: 09:00-19:00; We: 09:00-19:00; Th: 09:00-19:00; Fr: 09:00-19:00; Sa: 10:00-15:00,52.5225025,13.3784177
10969,Berlin,Ritterstr.,4-5,RETAIL_OUTLET,"Tabakwaren, Zeitungen, Lotto/Toto",4331236,[],Mo: 09:00-18:00; Tu: 09:00-18:00; We: 09:00-18:00; Th: 09:00-18:00; Fr: 09:00-18:00; Sa: 09:00-13:00,52.5008922,13.4126049
10115,Berlin,Chausseestr.,121-122,RETAIL_OUTLET,Postshop Chausseestraße,4328800,[],Mo: 09:00-18:00; Tu: 09:00-18:00; We: 09:00-18:00; Th: 09:00-18:00; Fr: 09:00-18:00; Sa: 09:00-13:00,52.529325,13.38428
10243,Berlin,Am Ostbahnhof,5,RETAIL_OUTLET,P & B Press & Books,4304991,[],Mo: 06:00-20:00; Tu: 06:00-20:00; We: 06:00-20:00; Th: 06:00-20:00; Fr: 06:00-20:00; Sa: 06:00-20:00,52.5103138,13.4329901
10785,Berlin,Potsdamer Platz,2,RETAIL_OUTLET,Spar Expres /Im Bhf–Eing.Sony-Cente,4337484,[],Mo: 09:00-19:00; Tu: 09:00-19:00; We: 09:00-19:00; Th: 09:00-19:00; Fr: 09:00-19:00; Sa: 10:00-15:00,52.5096925,13.3752856
10997,Berlin,Oranienstr.,10-11,RETAIL_OUTLET,Lotto Post,4306719,[],Mo: 09:00-19:00; Tu: 09:00-19:00; We: 09:00-19:00; Th: 09:00-19:00; Fr: 09:00-19:00; Sa: 10:00-17:00,52.5000886,13.4240324
10243,Berlin,Straße der Pariser Kommune,41,RETAIL_OUTLET,Lotto-Postpoint ,4093206,[],Mo: 08:00-19:00; Tu: 08:00-19:00; We: 08:00-19:00; Th: 08:00-19:00; Fr: 08:00-19:00; Sa: 08:00-13:00,52.516377,13.4401479
10435,Berlin,Sredzkistr.,29,RETAIL_OUTLET,Kiez Kiosk,4317608,[],Mo: 10:00-22:45; Tu: 10:00-22:45; We: 10:00-22:45; Th: 10:00-22:45; Fr: 10:00-22:45; Sa: 10:00-22:45; Su: 13:00-20:00,52.5385032,13.4168586
10961,Berlin,Blücherstr.,15,RETAIL_OUTLET,Kiosk,4308421,[],Mo: 08:00-19:00; Tu: 08:00-19:00; We: 08:00-19:00; Th: 08:00-19:00; Fr: 08:00-19:00; Sa: 08:00-19:00,52.4952186,13.3972017
