zipCode,city,district,additionalInfo,street,houseNo,format1,format2,keyWord,locationType,locationName,primaryKeyDeliverySystem,primaryKeyZipRegion,systemID,primaryKeyPF,pfServicetypes,pfAccessibilitytypes,pfClosureperiods,pfOtherinfos,poststationID,opening_hours,latitude,longitude
10178,Berlin,Mitte,,Spandauer Str.,2,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,City Shop,4340626,704.0,8,8-4340626,[],[],[],"[{'type': 'Bezeichnung', 'content': 'Berlin 3'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '18:00'}, {'type': 'tt_timestamp', 'content': '35172443056719344'}]",,Mo: 08:00-18:00; Tu: 08:00-18:00; We: 08:00-18:00; Th: 08:00-18:00; Fr: 08:00-18:00; Sa: 08:00-16:00,52.5211445,13.4037667
10178,Berlin,Mitte,,Rathausstr.,5,csbnan7s8n2s3,csbn2s3n1,Postbank Filiale,POSTBANK_FINANCE_CENTER,Postbank Filiale,6730,503.0,8,8-6730,[],[],"[{'type': 'closure', 'fromDate': '2025-10-29T00:00:00+0100', 'toDate': None}]","[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin 2'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '18:30'}, {'type': 'tt_timestamp', 'content': '35172443056719344'}]",,Mo: 09:30-18:30; Tu: 09:30-18:30; We: 09:30-18:30; Th: 09:30-18:30; Fr: 09:30-18:30; Sa: 09:00-14:00,52.5197371,13.4115168
10178,Berlin,Mitte,,Karl-Liebknecht-Str.,13,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Lotto Post Tabak,4307374,706.0,8,8-4307374,[],[],[],"[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin 146'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '19:00'}, {'type': 'tt_timestamp', 'content': '35172443056719344'}]",,Mo: 08:00-19:00; Tu: 08:00-19:00; We: 08:00-19:00; Th: 08:00-19:00; Fr: 08:00-19:00; Sa: 08:00-19:00,52.5223268,13.4080741
10179,Berlin,Mitte,,Grunerstr.,20,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,"GECO im ALEXA, Untergeschoss/Baseme",4125530,,8,8-4125530,[],[],[],"[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin 142'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '19:45'}, {'type': 'tt_timestamp', 'content': '35172443056719344'}]",,Mo: 09:00-19:45; Tu: 09:00-19:45; We: 09:00-19:45; Th: 09:00-19:45; Fr: 09:00-19:45; Sa: 09:00-19:45,52.5187644,13.4163841
10179,Berlin,Mitte,,Brückenstr.,1a,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Lotto-Post-Schreibwaren,4326999,504.0,8,8-4326999,[],[],[],"[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin 14'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '19:00'}, {'type': 'tt_timestamp', 'content': '35172443056719344'}]",,Mo: 09:00-19:00; Tu: 09:00-19:00; We: 09:00-19:00; Th: 09:00-19:00; Fr: 09:00-19:00; Sa: 09:00-15:00,52.5115047,13.4169142
10117,Berlin,Mitte,,Behrenstr.,29,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Lotto Post Zeitschriften,4329065,502.0,8,8-4329065,[],[],[],"[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin 8'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '22:00'}, {'type': 'tt_timestamp', 'content': '35172443056719344'}]",,Mo: 07:00-22:00; Tu: 07:00-22:00; We: 07:00-22:00; Th: 07:00-22:00; Fr: 07:00-22:00; Sa: 08:00-20:00; Su: 09:00-21:00,52.5155824,13.3902965
10119,Berlin,Mitte,,Torstr.,98,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Postshop Torstraße,4312916,534.0,8,8-4312916,[],[],[],"[{'type': 'Bezeichnung', 'content': 'Berlin 5'}, {'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '18:30'}, {'type': 'tt_timestamp', 'content': '35172443056719344'}]",,Mo: 09:00-18:30; Tu: 09:00-18:30; We: 09:00-18:30; Th: 09:00-18:30; Fr: 09:00-18:30; Sa: 10:00-15:00,52.5294491,13.4043244
10969,Berlin,Kreuzberg,,Markgrafenstr.,19a,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Lotto-Toto-Post,4335469,794.0,8,8-4335469,[],[],[],"[{'type': 'Bezeichnung', 'content': 'Berlin 607'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '18:00'}, {'type': 'tt_timestamp', 'content': '35172443056719344'}]",,Mo: 09:00-18:00; Tu: 09:00-18:00; We: 09:00-18:00; Th: 09:00-18:00; Fr: 09:00-18:00; Sa: 09:00-13:00,52.5073043,13.3945643
10117,Berlin,Mitte,,Friedrichstr.,133,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,City-Shop am Friedrichstadtpalast,4341744,658.0,8,8-4341744,[],[],[],"[{'type': 'Bezeichnung', 'content': 'Berlin 64'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '19:00'}, {'type': 'tt_timestamp', 'content': '35172443056719344'}]",,Mo: 08:00-19:00; Tu: 08:00-19:00; We: 08:00-19:00; Th: 08:00-19:00; Fr: 08:00-19:00; Sa: 08:00-16:00,52.5235573,13.3874275
10179,Berlin,Mitte,,Heinrich-Heine-Platz,9,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Tabac-Center,4139026,826.0,8,8-4139026,[],[],[],"[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin 600'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '19:00'}, {'type': 'tt_timestamp', 'content': '35172443056719344'}]",,Mo: 07:00-19:00; Tu: 07:00-19:00; We: 07:00-19:00; Th: 07:00-19:00; Fr: 07:00-19:00; Sa: 07:00-17:00,52.506585,13.4158765
